Timestamp,CPU_Usage(%),Memory_Usage(MB),Bytes_Received(Bytes),Bytes_Sent(Bytes),,,,,,
2025-01-13 07:48:47,0,11.93,,,,,,,,
2025-01-13 07:48:48,0,11.93,,,,,,,,
2025-01-13 07:48:49,0,11.93,,,,,,,,
2025-01-13 07:48:50,0,11.93,,,,,,,,
2025-01-13 07:48:51,0,11.93,,,,,,,,
2025-01-13 07:48:52,0,11.93,,,,,,,,
2025-01-13 07:48:53,0,11.93,,,,,,,,
2025-01-13 07:48:54,0,11.93,,,,,,,,
2025-01-13 07:48:55,0,11.93,,,,,,,,
2025-01-13 07:48:56,0,11.93,,,,,,,,
2025-01-13 07:48:57,0,11.93,,,,,,,,
2025-01-13 07:48:58,0,11.93,,,,,,,,
2025-01-13 07:48:59,0,11.93,,,,,,,,
2025-01-13 07:49:00,0,11.93,,,,,,,,
2025-01-13 07:49:01,0,11.93,,,,,,,,
2025-01-13 07:49:02,0,11.93,,,,,,,,
2025-01-13 07:49:03,0,11.93,,,,,,,,
2025-01-13 07:49:04,0,11.93,,,,,,,,
2025-01-13 07:49:05,0,11.93,,,,,,,,
2025-01-13 07:49:06,0,11.93,,,,,,,,
2025-01-13 07:49:07,0,11.93,,,,,,,,
2025-01-13 07:49:09,0,11.93,,,,,,,,
2025-01-13 07:49:10,0,11.93,,,,,,,,
2025-01-13 07:49:11,0,11.93,,,,,,,,
2025-01-13 07:49:12,0,11.93,,,,,,,,
2025-01-13 07:49:13,0,11.93,,,,,,,,
2025-01-13 07:49:14,0,11.93,,,,,,,,
2025-01-13 07:49:15,0,11.93,,,,,,,,
2025-01-13 07:49:16,0,11.93,,,,,,,,
2025-01-13 07:49:17,0,11.93,,,,,,,,
2025-01-13 07:49:18,0,11.93,,,,,,,,
2025-01-13 07:49:19,0,11.93,,,,,,,,
2025-01-13 07:49:20,0,11.93,,,,,,,,
2025-01-13 07:49:21,0,11.93,,,,,,,,
2025-01-13 07:49:22,0,11.93,,,,,,,,
2025-01-13 07:49:23,0,12.01,,,,,,,,
2025-01-13 07:49:24,0,12.01,,,,,,,,
2025-01-13 07:49:25,0,12.01,,,,,,,,
2025-01-13 07:49:26,0,12.01,,,,,,,,
2025-01-13 07:49:27,0,12.01,,,,,,,,
2025-01-13 07:49:28,0,12.15,,,,,,,,
2025-01-13 07:49:29,0,12.15,,,,,,,,
2025-01-13 07:49:30,0,12.15,,,,,,,,
2025-01-13 07:49:31,0,12.15,,,,,,,,
2025-01-13 07:49:32,0,12.15,,,,,,,,
2025-01-13 07:49:33,0,12.15,,,,,,,,
2025-01-13 07:49:34,0,12.15,,,,,,,,
2025-01-13 07:49:35,0,12.15,,,,,,,,
2025-01-13 07:49:36,0,12.15,,,,,,,,
2025-01-13 07:49:37,0,12.15,,,,,,,,
2025-01-13 07:49:38,0,12.15,,,,,,,,
2025-01-13 07:49:39,0,12.15,,,,,,,,
2025-01-13 07:49:40,0,12.15,,,,,,,,
2025-01-13 07:49:41,0,12.15,,,,,,,,
2025-01-13 07:49:42,0,12.15,,,,,,,,
2025-01-13 07:49:43,0,12.15,,,,,,,,
2025-01-13 07:49:44,0,12.15,,,,,,,,
2025-01-13 07:49:45,0,12.15,,,,,,,,
2025-01-13 07:49:46,0,12.15,,,,,,,,
2025-01-13 07:49:47,0,12.15,,,,,,,,
2025-01-13 07:49:48,0,12.15,,,,,,,,
2025-01-13 07:49:49,0,12.15,,,,,,,,
2025-01-13 07:49:50,0,12.15,,,,,,,,
2025-01-13 07:49:52,0,12.15,,,,,,,,
2025-01-13 07:49:53,0,12.15,,,,,,,,
2025-01-13 07:49:54,0,12.15,,,,,,,,
2025-01-13 07:49:55,0,12.15,,,,,,,,
2025-01-13 07:49:56,0,12.15,,,,,,,,
2025-01-13 07:49:57,0,12.15,,,,,,,,
2025-01-13 07:49:58,0,12.15,,,,,,,,
2025-01-13 07:49:59,0,12.15,,,,,,,,
2025-01-13 07:50:00,0,12.15,,,,,,,,
2025-01-13 07:50:01,0,12.15,,,,,,,,
2025-01-13 07:50:02,0,12.15,,,,,,,,
2025-01-13 07:50:03,0,12.15,,,,,,,,
2025-01-13 07:50:04,0,12.15,,,,,,,,
2025-01-13 07:50:05,0,12.15,,,,,,,,
2025-01-13 07:50:06,0,12.15,,,,,,,,
2025-01-13 07:50:07,0,12.15,,,,,,,,
2025-01-13 07:50:08,0,12.15,,,,,,,,
2025-01-13 07:50:09,0,12.15,,,,,,,,
2025-01-13 07:50:10,0,12.15,,,,,,,,
2025-01-13 07:50:11,0,12.15,,,,,,,,
2025-01-13 07:50:12,0,12.15,,,,,,,,
2025-01-13 07:50:13,0,12.15,,,,,,,,
2025-01-13 07:50:14,0,12.15,,,,,,,,
2025-01-13 07:50:15,0,12.15,,,,,,,,
2025-01-13 07:50:16,0,12.15,,,,,,,,
2025-01-13 07:50:17,0,12.15,,,,,,,,
2025-01-13 07:50:18,0,12.15,,,,,,,,
2025-01-13 07:50:19,0,12.15,,,,,,,,
2025-01-13 07:50:20,0,12.15,,,,,,,,
2025-01-13 07:50:21,0,12.15,,,,,,,,
2025-01-13 07:50:22,0,12.15,,,,,,,,
2025-01-13 07:50:23,0,12.15,,,,,,,,
2025-01-13 07:50:24,0,12.15,,,,,,,,
2025-01-13 07:50:25,0,12.15,,,,,,,,
2025-01-13 07:50:26,0,12.15,,,,,,,,
2025-01-13 07:50:27,0,12.15,,,,,,,,
2025-01-13 07:50:28,0,12.15,,,,,,,,
2025-01-13 07:50:29,0,12.15,,,,,,,,
2025-01-13 07:50:30,0,12.15,,,,,,,,
2025-01-13 07:50:31,0,12.15,,,,,,,,
2025-01-13 07:50:32,0,12.15,,,,,,,,
2025-01-13 07:50:33,0,12.15,,,,,,,,
2025-01-13 07:50:35,0,12.15,,,,,,,,
2025-01-13 07:50:36,0,12.15,,,,,,,,
2025-01-13 07:50:37,0,12.15,,,,,,,,
2025-01-13 07:50:38,0,12.15,,,,,,,,
2025-01-13 07:50:39,0,12.15,,,,,,,,
2025-01-13 07:50:40,0,12.15,,,,,,,,
2025-01-13 07:50:41,0,12.15,,,,,,,,
2025-01-13 07:50:42,0,12.15,,,,,,,,
2025-01-13 07:50:43,0,12.15,,,,,,,,
2025-01-13 07:50:44,0,12.15,,,,,,,,
2025-01-13 07:50:45,0,12.15,,,,,,,,
2025-01-13 07:50:46,0,12.15,,,,,,,,
2025-01-13 07:50:47,0,12.15,,,,,,,,
2025-01-13 07:50:48,0,12.15,,,,,,,,
2025-01-13 07:50:49,0,12.15,,,,,,,,
2025-01-13 07:50:50,0,12.15,,,,,,,,
2025-01-13 07:50:51,0,12.15,,,,,,,,
2025-01-13 07:50:52,0,12.15,,,,,,,,
2025-01-13 07:50:53,0,12.15,,,,,,,,
2025-01-13 07:50:54,0,12.15,,,,,,,,
2025-01-13 07:50:55,0,12.15,,,,,,,,
2025-01-13 07:50:56,0,12.15,,,,,,,,
2025-01-13 07:50:57,0,12.15,,,,,,,,
2025-01-13 07:50:58,0,12.15,,,,,,,,
2025-01-13 07:50:59,0,12.15,,,,,,,,
2025-01-13 07:51:00,0,12.15,,,,,,,,
2025-01-13 07:51:01,0,12.15,,,,,,,,
2025-01-13 07:51:02,0,12.15,,,,,,,,
2025-01-13 07:51:03,0,12.15,,,,,,,,
2025-01-13 07:51:04,0,12.15,,,,,,,,
2025-01-13 07:51:05,0,12.15,,,,,,,,
2025-01-13 07:51:06,0,12.15,,,,,,,,
2025-01-13 07:51:07,0,12.15,,,,,,,,
2025-01-13 07:51:08,0,12.15,,,,,,,,
2025-01-13 07:51:09,0,12.15,,,,,,,,
2025-01-13 07:51:10,0,12.15,,,,,,,,
2025-01-13 07:51:11,0,12.15,,,,,,,,
