Timestamp,CPU_Usage(%),Memory_Usage(MB),Bytes_Received(Bytes),Bytes_Sent(Bytes),,,,,,,
2025-01-13 04:48:18,0,11.9,,,,,,,,,
2025-01-13 04:48:19,0,11.9,,,,,,,,,
2025-01-13 04:48:20,0,11.9,,,,,,,,,
2025-01-13 04:48:21,0,11.9,,,,,,,,,
2025-01-13 04:48:22,0,11.9,,,,,,,,,
2025-01-13 04:48:23,0,11.9,,,,,,,,,
2025-01-13 04:48:24,0,11.9,,,,,,,,,
2025-01-13 04:48:25,0,11.9,,,,,,,,,
2025-01-13 04:48:26,0,11.9,,,,,,,,,
2025-01-13 04:48:27,0,11.9,,,,,,,,,
2025-01-13 04:48:28,0,11.9,,,,,,,,,
2025-01-13 04:48:29,0,11.9,,,,,,,,,
2025-01-13 04:48:30,0,11.9,,,,,,,,,
2025-01-13 04:48:31,0,11.9,,,,,,,,,
2025-01-13 04:48:32,0,11.9,,,,,,,,,
2025-01-13 04:48:33,0,11.9,,,,,,,,,
2025-01-13 04:48:34,0,11.9,,,,,,,,,
2025-01-13 04:48:35,0,11.9,,,,,,,,,
2025-01-13 04:48:36,0,11.9,,,,,,,,,
2025-01-13 04:48:37,0,11.9,,,,,,,,,
2025-01-13 04:48:38,0,11.9,,,,,,,,,
2025-01-13 04:48:39,0,11.9,,,,,,,,,
2025-01-13 04:48:40,0,11.9,,,,,,,,,
2025-01-13 04:48:41,0,11.9,,,,,,,,,
2025-01-13 04:48:42,0,11.9,,,,,,,,,
2025-01-13 04:48:43,0,11.9,,,,,,,,,
2025-01-13 04:48:44,0,11.9,,,,,,,,,
2025-01-13 04:48:45,0,11.9,,,,,,,,,
2025-01-13 04:48:46,0,11.9,,,,,,,,,
2025-01-13 04:48:48,0,11.9,,,,,,,,,
2025-01-13 04:48:49,0,11.9,,,,,,,,,
2025-01-13 04:48:50,0,11.9,,,,,,,,,
2025-01-13 04:48:51,0,11.9,,,,,,,,,
2025-01-13 04:48:52,0,11.9,,,,,,,,,
2025-01-13 04:48:53,0,11.9,,,,,,,,,
2025-01-13 04:48:54,0,11.9,,,,,,,,,
2025-01-13 04:48:55,0,11.9,,,,,,,,,
2025-01-13 04:48:56,0,11.9,,,,,,,,,
2025-01-13 04:48:57,0,11.9,,,,,,,,,
2025-01-13 04:48:58,0,11.9,,,,,,,,,
2025-01-13 04:48:59,0,11.9,,,,,,,,,
2025-01-13 04:49:00,0,11.9,,,,,,,,,
2025-01-13 04:49:01,0,11.9,,,,,,,,,
2025-01-13 04:49:02,0,11.9,,,,,,,,,
2025-01-13 04:49:03,0,11.9,,,,,,,,,
2025-01-13 04:49:04,0,11.9,,,,,,,,,
2025-01-13 04:49:05,0,11.9,,,,,,,,,
2025-01-13 04:49:06,0,11.9,,,,,,,,,
2025-01-13 04:49:07,0,11.9,,,,,,,,,
2025-01-13 04:49:08,0,11.9,,,,,,,,,
2025-01-13 04:49:09,0,11.9,,,,,,,,,
2025-01-13 04:49:10,0,11.9,,,,,,,,,
2025-01-13 04:49:11,0,11.9,,,,,,,,,
2025-01-13 04:49:12,0,11.9,,,,,,,,,
2025-01-13 04:49:13,0,11.9,,,,,,,,,
