family,K,lam,final_mean,final_std,auc_mean,auc_std
mirai,3,10.0,840.6,274.57064664672373,294.26897691370965,166.02096611065502
mirai,3,15.0,840.6,274.57064664672373,294.1957681004045,165.89513716809026
mirai,3,20.0,840.6,274.57064664672373,294.3349015570658,166.0448955445074
mirai,4,0.5,870.2,302.4085977613732,242.72034864996286,138.56836743263537
mirai,4,1.0,870.2,302.4085977613732,293.4235565044691,161.49887739829094
mirai,4,1.5,870.2,302.4085977613732,296.68837225705045,164.9259732266233
mirai,4,2.0,870.2,302.4085977613732,301.4086649114811,171.01694913360043
mirai,4,2.5,870.2,302.4085977613732,302.97113768985946,172.82723452051417
mirai,4,3.0,870.2,302.4085977613732,302.94601163133063,172.80113393928212
mirai,4,5.0,870.2,302.4085977613732,305.01658842036755,175.21850037005902
mirai,4,10.0,870.2,302.4085977613732,307.4079449835866,178.0027621215258
mirai,4,15.0,870.2,302.4085977613732,307.3378107176022,177.88927976582312
mirai,4,20.0,870.2,302.4085977613732,307.4788716387914,178.04342238516807
mirai,5,0.5,870.8,302.8982667497455,237.485945589308,138.57153064758123
mirai,5,1.0,870.8,302.8982667497455,288.8052256751926,155.3862039721382
mirai,5,1.5,870.8,302.8982667497455,299.36500744845966,169.01428990930162
mirai,5,2.0,870.8,302.8982667497455,301.62918329988435,171.254379472933
mirai,5,2.5,870.8,302.8982667497455,303.0985404799909,172.97572347617526
mirai,5,3.0,870.8,302.8982667497455,305.20151221913864,175.39001126615935
mirai,5,5.0,870.8,302.8982667497455,305.1478021781625,175.35389567693127
mirai,5,10.0,870.8,302.8982667497455,307.51608025921547,178.10031453332357
mirai,5,15.0,870.8,302.8982667497455,307.4480239535422,177.98868603401573
mirai,5,20.0,870.8,302.8982667497455,307.59215729978723,178.14563224238069
mirai,6,0.5,870.8,302.8982667497455,230.52576053252983,135.20157209418315
mirai,6,1.0,870.8,302.8982667497455,286.9779156980459,153.5000684622105
mirai,6,1.5,870.8,302.8982667497455,298.77868776925595,168.01349441479832
mirai,6,2.0,870.8,302.8982667497455,301.40724647204246,171.07480770335232
mirai,6,2.5,870.8,302.8982667497455,302.90623951588975,172.8400020200541
mirai,6,3.0,870.8,302.8982667497455,305.0343632598025,175.2706612770383
mirai,6,5.0,870.8,302.8982667497455,307.44828701977815,178.09841846610334
mirai,6,10.0,870.8,302.8982667497455,307.46248568518894,178.10053924277605
mirai,6,15.0,870.8,302.8982667497455,307.3942855320738,177.98911103898703
mirai,6,20.0,870.8,302.8982667497455,307.5385627257607,178.145856689219
mirai,8,0.5,871.4,302.26915158513947,222.92654049106346,130.2104113998915
mirai,8,1.0,871.4,302.26915158513947,295.8666548755021,164.47657978891172
mirai,8,1.5,871.4,302.26915158513947,298.44099173977594,167.23659728792956
mirai,8,2.0,871.4,302.26915158513947,303.00064634203306,172.51796365122215
mirai,8,2.5,871.4,302.26915158513947,302.90800441858903,172.4420261081252
mirai,8,3.0,871.4,302.26915158513947,305.13078838196844,174.9786174632981
mirai,8,5.0,871.4,302.26915158513947,307.5811407785303,177.83621125893558
mirai,8,10.0,871.4,302.26915158513947,307.59607390358644,177.8389087739372
mirai,8,15.0,871.4,302.26915158513947,307.52960232729515,177.72872854330532
mirai,8,20.0,871.4,302.26915158513947,310.74756628921074,181.50155501443626
mirai,10,0.5,871.2,301.70144182618685,215.96374554896778,125.6523447569093
mirai,10,1.0,871.2,301.70144182618685,293.3892123331331,161.7870394916223
mirai,10,1.5,871.2,301.70144182618685,298.1014771253421,166.88026300372056
mirai,10,2.0,871.2,301.70144182618685,302.9384371389998,172.44845513930642
mirai,10,2.5,871.2,301.70144182618685,304.8810638142604,174.71944575946674
mirai,10,3.0,871.2,301.70144182618685,305.10408426223285,174.94323086491448
mirai,10,5.0,871.2,301.70144182618685,307.5562456088171,177.79997037331543
mirai,10,10.0,871.2,301.70144182618685,307.57176018974354,177.80185921333592
mirai,10,15.0,871.2,301.70144182618685,310.578975381681,181.30688592791537
mirai,10,20.0,871.2,301.70144182618685,310.72355185026333,181.46373803352552
mirai,15,0.5,877.0,296.21478693677665,208.1086337817403,122.05057614305679
mirai,15,1.0,877.0,296.21478693677665,290.9059207279579,153.6693468505278
mirai,15,1.5,877.0,296.21478693677665,301.5261454479062,165.72189448601347
mirai,15,2.0,877.0,296.21478693677665,305.18874075788386,169.92498976331993
mirai,15,2.5,877.0,296.21478693677665,307.1314969355746,172.2074249696187
mirai,15,3.0,877.0,296.21478693677665,309.77773751814004,175.2639755928443
mirai,15,5.0,877.0,296.21478693677665,309.80751332831744,175.3004399131566
mirai,15,10.0,877.0,296.21478693677665,312.90010126968986,178.9336607553633
mirai,15,15.0,877.0,296.21478693677665,312.8343283076893,178.82002025146375
mirai,15,20.0,877.0,296.21478693677665,312.9793804939615,178.97678463516579
mirai,20,0.5,884.0,296.2681218086077,195.68387256727806,109.35362020428637
mirai,20,1.0,884.0,296.2681218086077,289.3155745375595,149.7422531646105
